id,weight
Albania,3.124861
Armenia,3.062612
Austria,8.185553
Azerbaijan,8.479668
Belgium,10.356993
Bulgaria,7.789180
Bosnia and Herzegovina,3.781358
Belarus,9.872110
Switzerland,7.361231
Cyprus,0.737100
Czech Republic,10.201665
Germany,82.524343
Denmark,5.400280
Spain,42.732092
Estonia,1.348449
Finland,5.226067
France,62.413321
United Kingdom,59.891788
Georgia,4.519607
Greece,11.147261
Croatia,4.449522
Hungary,10.110393
Ireland,4.085676
Iceland,0.293004
Italy,58.263782
Kazakhstan,15.053492
Lithuania,3.432060
Luxembourg,0.450888
Latvia,2.319229
Malta,0.407183
Montenegro,0.626912
Netherlands,16.225091
Norway,4.587046
Poland,38.175134
Portugal,10.506253
Romania,21.845264
Russian Federation,144.306982
Serbia,7.463157
Slovakia,5.411339
Slovenia,1.997959
Sweden,8.977965
Turkey,67.235927
Ukraine,47.275250
