id,weight
Albania,3.077378
Armenia,3.065810
Austria,8.038480
Azerbaijan,8.191464
Belgium,10.211264
Bulgaria,7.947761
Bosnia and Herzegovina,3.748370
Belarus,10.009810
Switzerland,7.207987
Cyprus,0.701300
Czech Republic,10.225701
Germany,82.384256
Denmark,5.356055
Spain,40.767010
Estonia,1.362823
Finland,5.185180
France,61.132850
United Kingdom,59.097129
Georgia,4.685331
Greece,11.032395
Croatia,4.481620
Hungary,10.184663
Ireland,3.865820
Iceland,0.283992
Italy,57.199219
Kazakhstan,14.897666
Lithuania,3.479622
Luxembourg,0.439509
Latvia,2.367302
Malta,0.399746
Montenegro,0.630299
Netherlands,15.953446
Norway,4.513953
Poland,38.266810
Portugal,10.379756
Romania,22.100007
Russian Federation,146.161742
Serbia,7.503433
Slovakia,5.407045
Slovenia,1.988385
Sweden,8.877022
Turkey,64.544914
Ukraine,48.448267
