id,weight
Albania,3.072725
Armenia,3.090624
Austria,7.984694
Azerbaijan,8.039312
Belgium,10.148371
Bulgaria,8.067041
Bosnia and Herzegovina,3.601438
Belarus,10.107518
Switzerland,7.136740
Cyprus,0.686400
Czech Republic,10.260335
Germany,82.341545
Denmark,5.320488
Spain,39.948910
Estonia,1.379962
Finland,5.161995
France,60.442253
United Kingdom,58.671413
Georgia,4.805140
Greece,10.937612
Croatia,4.540042
Hungary,10.237422
Ireland,3.750945
Iceland,0.278403
Italy,56.873677
Kazakhstan,15.082372
Lithuania,3.523732
Luxembourg,0.430650
Latvia,2.402452
Malta,0.395339
Montenegro,0.635689
Netherlands,15.775532
Norway,4.465664
Poland,38.336047
Portugal,10.293668
Romania,22.282690
Russian Federation,147.286725
Serbia,7.540401
Slovakia,5.401350
Slovenia,1.982378
Sweden,8.852487
Turkey,62.692616
Ukraine,49.366106
