id,weight
Albania,3.106701
Armenia,3.060554
Austria,8.134235
Azerbaijan,8.376733
Belgium,10.303108
Bulgaria,7.840117
Bosnia and Herzegovina,3.782717
Belarus,9.917927
Switzerland,7.307078
Cyprus,0.720600
Czech Republic,10.199327
Germany,82.484111
Denmark,5.384487
Spain,42.039800
Estonia,1.351955
Finland,5.210595
France,61.976312
United Kingdom,59.604347
Georgia,4.569880
Greece,11.111072
Croatia,4.456587
Hungary,10.134513
Ireland,4.010506
Iceland,0.289724
Italy,57.864332
Kazakhstan,14.959072
Lithuania,3.447170
Luxembourg,0.446340
Latvia,2.334225
Malta,0.404787
Montenegro,0.627500
Netherlands,16.137709
Norway,4.558660
Poland,38.198151
Portugal,10.465808
Romania,21.925307
Russian Federation,144.880469
Serbia,7.480591
Slovakia,5.409182
Slovenia,1.994426
Sweden,8.935392
Turkey,66.339433
Ukraine,47.643278
