id,weight
Albania,3.215988
Armenia,3.100236
Austria,8.413429
Azerbaijan,9.306023
Belgium,10.754056
Bulgaria,7.446135
Bosnia and Herzegovina,3.752228
Belarus,9.559441
Switzerland,7.701690
Cyprus,0.818834
Czech Republic,10.534293
Germany,82.162512
Denmark,5.572594
Spain,46.454895
Estonia,1.340537
Finland,5.384770
France,65.089013
United Kingdom,62.417431
Georgia,4.329026
Greece,11.390031
Croatia,4.395560
Hungary,9.966116
Ireland,4.525802
Iceland,0.324366
Italy,60.788694
Kazakhstan,16.206750
Lithuania,3.307481
Luxembourg,0.515941
Latvia,2.243142
Malta,0.417855
Montenegro,0.632261
Netherlands,16.664746
Norway,4.924848
Poland,38.298949
Portugal,10.689663
Romania,21.436495
Russian Federation,142.835555
Serbia,7.359639
Slovakia,5.471502
Slovenia,2.035012
Sweden,9.440747
Turkey,73.639596
Ukraine,45.190180
