id,weight
Albania,3.181397
Armenia,3.079087
Austria,8.341806
Azerbaijan,8.943600
Belgium,10.602167
Bulgaria,7.591322
Bosnia and Herzegovina,3.774164
Belarus,9.680690
Switzerland,7.573204
Cyprus,0.793000
Czech Republic,10.377359
Germany,82.475271
Denmark,5.497312
Spain,45.146258
Estonia,1.342145
Finland,5.316334
France,64.002443
United Kingdom,61.270318
Georgia,4.394018
Greece,11.291807
Croatia,4.418387
Hungary,10.021886
Ireland,4.352866
Iceland,0.310666
Italy,59.891479
Kazakhstan,15.655345
Lithuania,3.359799
Luxembourg,0.486781
Latvia,2.271198
Malta,0.413946
Montenegro,0.629185
Netherlands,16.503263
Norway,4.778959
Poland,38.218462
Portugal,10.634612
Romania,21.589544
Russian Federation,143.163100
Serbia,7.350222
Slovakia,5.441304
Slovenia,2.018172
Sweden,9.236872
Turkey,70.923730
Ukraine,45.991584
