id,weight
Albania,3.224901
Armenia,3.370373
Austria,7.839625
Azerbaijan,7.562075
Belgium,10.032084
Bulgaria,8.550495
Bosnia and Herzegovina,3.677379
Belarus,10.301336
Switzerland,6.891266
Cyprus,0.625800
Czech Republic,10.319923
Germany,80.926118
Denmark,5.191370
Spain,39.203352
Estonia,1.497364
Finland,5.061394
France,58.955673
United Kingdom,57.681639
Georgia,5.254049
Greece,10.464295
Croatia,4.628968
Hungary,10.348284
Ireland,3.565952
Iceland,0.262386
Italy,56.937520
Kazakhstan,16.293800
Lithuania,3.673606
Luxembourg,0.396179
Latvia,2.571110
Malta,0.379574
Montenegro,0.633443
Netherlands,15.212612
Norway,4.309369
Poland,38.316289
Portugal,10.028171
Romania,22.948987
Russian Federation,148.945559
Serbia,7.614328
Slovakia,5.335519
Slovenia,1.952220
Sweden,8.738894
Turkey,56.959988
Ukraine,51.546666
