id,weight
Albania,3.179442
Armenia,3.290540
Austria,7.894229
Azerbaijan,7.669735
Belgium,10.057529
Bulgaria,8.449971
Bosnia and Herzegovina,3.462032
Belarus,10.293127
Switzerland,6.961228
Cyprus,0.639000
Czech Republic,10.322561
Germany,81.495194
Denmark,5.212071
Spain,39.318577
Estonia,1.467016
Finland,5.086368
France,59.194619
United Kingdom,57.838596
Georgia,5.157814
Greece,10.574134
Croatia,4.658613
Hungary,10.342427
Ireland,3.586685
Iceland,0.264909
Italy,56.965197
Kazakhstan,16.120117
Lithuania,3.652438
Luxembourg,0.401804
Latvia,2.528893
Malta,0.383314
Montenegro,0.639542
Netherlands,15.320112
Norway,4.333931
Poland,38.364540
Portugal,10.077548
Romania,22.810195
Russian Federation,148.866314
Serbia,7.622711
Slovakia,5.353767
Slovenia,1.959752
Sweden,8.789976
Turkey,57.911273
Ukraine,51.377434
