id,weight
Albania,3.112597
Armenia,3.172185
Austria,7.960464
Azerbaijan,7.845310
Belgium,10.098192
Bulgaria,8.273011
Bosnia and Herzegovina,3.305672
Belarus,10.244354
Switzerland,7.060963
Cyprus,0.660900
Czech Republic,10.310016
Germany,82.200333
Denmark,5.255213
Spain,39.519508
Estonia,1.419727
Finland,5.125177
France,59.670985
United Kingdom,58.156871
Georgia,4.992336
Greece,10.754641
Croatia,4.656706
Hungary,10.313993
Ireland,3.638457
Iceland,0.270119
Italy,56.938342
Kazakhstan,15.712544
Lithuania,3.604044
Luxembourg,0.413377
Latvia,2.462617
Malta,0.389277
Montenegro,0.644121
Netherlands,15.517122
Norway,4.385139
Poland,38.398942
Portugal,10.169044
Romania,22.567385
Russian Federation,148.456965
Serbia,7.622185
Slovakia,5.380807
Slovenia,1.971488
Sweden,8.847421
Turkey,59.821978
Ukraine,50.773323
