id,weight
Albania,3.266983
Armenia,3.449940
Austria,7.778255
Azerbaijan,7.445925
Belgium,10.004469
Bulgaria,8.651284
Bosnia and Herzegovina,3.931372
Belarus,10.298479
Switzerland,6.814701
Cyprus,0.610600
Czech Republic,10.313662
Germany,80.282985
Denmark,5.172040
Spain,39.086335
Estonia,1.527660
Finland,5.034766
France,58.711078
United Kingdom,57.525459
Georgia,5.346229
Greece,10.351229
Croatia,4.588173
Hungary,10.352695
Ireland,3.549302
Iceland,0.259881
Italy,56.895154
Kazakhstan,16.430903
Lithuania,3.689943
Luxembourg,0.390778
Latvia,2.612722
Malta,0.375533
Montenegro,0.625630
Netherlands,15.102709
Norway,4.285620
Poland,38.247716
Portugal,9.982069
Romania,23.077600
Russian Federation,148.897737
Serbia,7.604063
Slovakia,5.314849
Slovenia,1.943919
Sweden,8.678657
Turkey,56.012109
Ukraine,51.637719
