id,weight
Albania,3.079037
Armenia,3.109101
Austria,7.976117
Azerbaijan,7.975648
Belgium,10.128653
Bulgaria,8.130284
Bosnia and Herzegovina,3.480285
Belarus,10.157409
Switzerland,7.112948
Cyprus,0.678900
Czech Republic,10.278707
Germany,82.350467
Denmark,5.299649
Spain,39.734033
Estonia,1.390414
Finland,5.151024
France,60.160764
United Kingdom,58.488026
Georgia,4.863694
Greece,10.884604
Croatia,4.582742
Hungary,10.264982
Ireland,3.706687
Iceland,0.275608
Italy,56.851522
Kazakhstan,15.265189
Lithuania,3.549816
Luxembourg,0.425216
Latvia,2.419819
Malta,0.393429
Montenegro,0.639309
Netherlands,15.690705
Norway,4.439248
Poland,38.366420
Portugal,10.252334
Romania,22.372555
Russian Federation,147.749214
Serbia,7.567745
Slovakia,5.396548
Slovenia,1.979261
Sweden,8.852650
Turkey,61.742674
Ukraine,49.860125
