id,weight
Albania,3.289483
Armenia,3.544695
Austria,7.670513
Azerbaijan,7.211692
Belgium,9.949019
Bulgaria,8.818915
Bosnia and Herzegovina,4.308197
Belarus,10.259700
Switzerland,6.673738
Cyprus,0.579400
Czech Republic,10.302718
Germany,79.098094
Denmark,5.141034
Spain,38.889158
Estonia,1.567631
Finland,4.986441
France,58.183174
United Kingdom,57.214474
Georgia,5.459999
Greece,10.160501
Croatia,4.517200
Hungary,10.376320
Ireland,3.531219
Iceland,0.254793
Italy,56.832330
Kazakhstan,16.530000
Lithuania,3.695890
Luxembourg,0.381225
Latvia,2.663905
Malta,0.367524
Montenegro,0.608816
Netherlands,14.891719
Norway,4.241485
Poland,38.056174
Portugal,9.925477
Romania,23.206719
Russian Federation,148.243501
Serbia,7.897937
Slovakia,5.270072
Slovenia,1.926701
Sweden,8.558829
Turkey,54.130268
Ukraine,51.644914
