id,weight
Albania,3.089778
Armenia,3.061067
Austria,8.083059
Azerbaijan,8.280252
Belgium,10.254025
Bulgaria,7.892666
Bosnia and Herzegovina,3.775883
Belarus,9.963383
Switzerland,7.254975
Cyprus,0.709600
Czech Republic,10.209500
Germany,82.432026
Denmark,5.370507
Spain,41.364726
Estonia,1.356644
Finland,5.197305
France,61.542036
United Kingdom,59.339971
Georgia,4.626034
Greece,11.073334
Croatia,4.466013
Hungary,10.159273
Ireland,3.935781
Iceland,0.286783
Italy,57.498867
Kazakhstan,14.901669
Lithuania,3.462402
Luxembourg,0.442882
Latvia,2.350340
Malta,0.402244
Montenegro,0.628594
Netherlands,16.045935
Norway,4.535599
Poland,38.230497
Portugal,10.423256
Romania,22.010781
Russian Federation,145.519641
Serbia,7.500031
Slovakia,5.408162
Slovenia,1.991319
Sweden,8.901831
Turkey,65.446165
Ukraine,48.032368
