id,weight
Albania,3.169665
Armenia,3.074181
Austria,8.309783
Azerbaijan,8.821012
Belgium,10.538758
Bulgaria,7.640283
Bosnia and Herzegovina,3.779034
Belarus,9.728228
Switzerland,7.521613
Cyprus,0.785300
Czech Republic,10.313525
Germany,82.516297
Denmark,5.469130
Spain,44.604384
Estonia,1.342873
Finland,5.290431
France,63.628119
United Kingdom,60.896101
Georgia,4.415956
Greece,11.255717
Croatia,4.425995
Hungary,10.042572
Ireland,4.291258
Iceland,0.305721
Italy,59.495243
Kazakhstan,15.476093
Lithuania,3.379043
Luxembourg,0.475714
Latvia,2.281693
Malta,0.412608
Montenegro,0.627962
Netherlands,16.443483
Norway,4.722016
Poland,38.189762
Portugal,10.608036
Romania,21.644886
Russian Federation,143.294533
Serbia,7.381579
Slovakia,5.430974
Slovenia,2.012345
Sweden,9.161374
Turkey,69.992754
Ukraine,46.282158
