id,weight
Albania,3.091902
Armenia,3.134836
Austria,7.971553
Azerbaijan,7.913692
Belgium,10.113392
Bulgaria,8.198008
Bosnia and Herzegovina,3.365616
Belarus,10.204382
Switzerland,7.090483
Cyprus,0.670400
Czech Republic,10.295984
Germany,82.326019
Denmark,5.277572
Spain,39.608652
Estonia,1.403188
Finland,5.139257
France,59.909141
United Kingdom,58.318771
Georgia,4.924569
Greece,10.824894
Croatia,4.625390
Hungary,10.291342
Ireland,3.669860
Iceland,0.272836
Italy,56.888300
Kazakhstan,15.484686
Lithuania,3.577128
Luxembourg,0.419355
Latvia,2.438994
Malta,0.391499
Montenegro,0.642533
Netherlands,15.605817
Norway,4.412092
Poland,38.389116
Portugal,10.211281
Romania,22.465454
Russian Federation,148.139274
Serbia,7.598538
Slovakia,5.389895
Slovenia,1.975755
Sweden,8.853934
Turkey,60.783217
Ukraine,50.342838
