id,weight
Albania,3.204284
Armenia,3.092072
Austria,8.393644
Azerbaijan,9.187783
Belgium,10.712066
Bulgaria,7.494332
Bosnia and Herzegovina,3.760149
Belarus,9.595421
Switzerland,7.664318
Cyprus,0.809361
Czech Republic,10.492960
Germany,82.302465
Denmark,5.550142
Spain,46.076989
Estonia,1.341140
Finland,5.364546
France,64.731126
United Kingdom,62.035570
Georgia,4.352244
Greece,11.359346
Croatia,4.403330
Hungary,9.983645
Ireland,4.469900
Iceland,0.320136
Italy,60.550848
Kazakhstan,16.026367
Lithuania,3.323611
Luxembourg,0.507448
Latvia,2.252060
Malta,0.416515
Montenegro,0.631490
Netherlands,16.612988
Norway,4.883111
Poland,38.276660
Portugal,10.675572
Romania,21.486371
Russian Federation,142.958164
Serbia,7.361322
Slovakia,5.462119
Slovenia,2.029680
Sweden,9.379687
Turkey,72.752325
Ukraine,45.448329
