id,weight
Albania,3.192723
Armenia,3.084979
Austria,8.369639
Azerbaijan,9.066604
Belgium,10.660938
Bulgaria,7.542674
Bosnia and Herzegovina,3.767683
Belarus,9.636016
Switzerland,7.621211
Cyprus,0.799700
Czech Republic,10.439735
Germany,82.405365
Denmark,5.524874
Spain,45.638113
Estonia,1.341629
Finland,5.341546
France,64.368791
United Kingdom,61.652315
Georgia,4.373630
Greece,11.326596
Croatia,4.410864
Hungary,10.002247
Ireland,4.412181
Iceland,0.315543
Italy,60.248654
Kazakhstan,15.841096
Lithuania,3.341097
Luxembourg,0.497637
Latvia,2.261380
Malta,0.415220
Montenegro,0.630435
Netherlands,16.559268
Norway,4.834002
Poland,38.249228
Portugal,10.657175
Romania,21.537219
Russian Federation,143.064078
Serbia,7.357750
Slovakia,5.451968
Slovenia,2.024040
Sweden,9.311110
Turkey,71.846212
Ukraine,45.715010
