id,weight
Albania,3.156607
Armenia,3.069844
Austria,8.273208
Azerbaijan,8.701719
Belgium,10.474993
Bulgaria,7.689520
Bosnia and Herzegovina,3.781588
Belarus,9.776823
Switzerland,7.468350
Cyprus,0.770900
Czech Republic,10.258796
Germany,82.536138
Denmark,5.442644
Spain,44.017887
Estonia,1.344038
Finland,5.265936
France,63.240280
United Kingdom,60.538143
Georgia,4.442825
Greece,11.219300
Croatia,4.433791
Hungary,10.064274
Ireland,4.226428
Iceland,0.301010
Italy,59.082100
Kazakhstan,15.312333
Lithuania,3.397895
Luxembourg,0.465586
Latvia,2.293080
Malta,0.411084
Montenegro,0.627074
Netherlands,16.377959
Norway,4.668802
Poland,38.170330
Portugal,10.577630
Romania,21.705175
Russian Federation,143.510059
Serbia,7.411569
Slovakia,5.422122
Slovenia,2.006903
Sweden,9.090707
Turkey,69.063538
Ukraine,46.591797
