id,weight
Albania,3.291695
Armenia,3.512051
Austria,7.719577
Azerbaijan,7.327570
Belgium,9.976325
Bulgaria,8.743034
Bosnia and Herzegovina,4.157485
Belarus,10.284522
Switzerland,6.740104
Cyprus,0.594900
Czech Republic,10.307130
Germany,79.651903
Denmark,5.155038
Spain,38.979222
Estonia,1.552370
Finland,5.009160
France,58.454894
United Kingdom,57.369629
Georgia,5.418521
Greece,10.247132
Croatia,4.548076
Hungary,10.360831
Ireland,3.537626
Iceland,0.257359
Italy,56.856059
Kazakhstan,16.513480
Lithuania,3.698095
Luxembourg,0.385755
Latvia,2.645539
Malta,0.371455
Montenegro,0.617144
Netherlands,14.994691
Norway,4.262932
Poland,38.160714
Portugal,9.946333
Romania,23.169554
Russian Federation,148.673813
Serbia,7.595636
Slovakia,5.292792
Slovenia,1.935302
Sweden,8.616729
Turkey,55.068880
Ukraine,51.666114
