id,weight
Albania,3.141800
Armenia,3.065954
Austria,8.232196
Azerbaijan,8.587902
Belgium,10.414209
Bulgaria,7.739115
Bosnia and Herzegovina,3.781001
Belarus,9.825102
Switzerland,7.415007
Cyprus,0.758000
Czech Republic,10.220638
Germany,82.540739
Denmark,5.419444
Spain,43.395441
Estonia,1.345857
Finland,5.244342
France,62.836438
United Kingdom,60.202727
Georgia,4.477006
Greece,11.183114
Croatia,4.441986
Hungary,10.086936
Ireland,4.158042
Iceland,0.296743
Italy,58.671206
Kazakhstan,15.171805
Lithuania,3.415748
Luxembourg,0.457197
Latvia,2.305528
Malta,0.409295
Montenegro,0.626739
Netherlands,16.305457
Norway,4.623298
Poland,38.165040
Portugal,10.543663
Romania,21.771749
Russian Federation,143.843159
Serbia,7.440769
Slovakia,5.415496
Slovenia,2.002084
Sweden,9.029345
Turkey,68.143186
Ukraine,46.923927
