id,weight
Albania,3.141102
Armenia,3.223173
Austria,7.935624
Azerbaijan,7.764798
Belgium,10.079873
Bulgaria,8.356624
Bosnia and Herzegovina,3.332098
Belarus,10.274231
Switzerland,7.018702
Cyprus,0.650700
Czech Republic,10.319337
Germany,81.929441
Denmark,5.233364
Spain,39.426834
Estonia,1.440710
Finland,5.107802
France,59.433490
United Kingdom,57.997210
Georgia,5.069269
Greece,10.671809
Croatia,4.669001
Hungary,10.331403
Ireland,3.610958
Iceland,0.267478
Italy,56.968039
Kazakhstan,15.925853
Lithuania,3.629104
Luxembourg,0.407522
Latvia,2.492095
Malta,0.386576
Montenegro,0.643227
Netherlands,15.422165
Norway,4.359096
Poland,38.391778
Portugal,10.124943
Romania,22.680954
Russian Federation,148.698582
Serbia,7.628264
Slovakia,5.368894
Slovenia,1.966205
Sweden,8.826949
Turkey,58.864649
Ukraine,51.121722
