id,weight
Ned1,11.900000
Ned2,15.100000
Ned3,6.300000
RTL4,14.700000
RTL5,4.600000
RTL7,4.200000
RTL8,0.000000
RTL Crime,0.000000
RTL Lounge,0.000000
RTL Z,0.000000
Yorin,0.000000
SBS6,9.800000
Net5,4.300000
Veronica,3.000000
SBS 9,0.000000
Tien,0.000000
Talpa,2.200000
MTF,0.700000
TMF,0.800000
Kindernet,0.000000
Comedy,0.000000
The Box,0.300000
Nickolodeon,2.200000
Spike,0.000000
TeenNick,0.000000
Jetix,2.200000
FoxKids,0.000000
Disney XD,0.000000
Disney channel,0.000000
Discovery channel,1.700000
National Geographic channel,0.700000
Animal planet,0.700000
TLC,0.000000
ID,0.000000
24Kitchen,0.000000
Fox,0.000000
Fox Sports *,0.000000
Eurosport,0.900000
AT5,0.200000
Regionale zenders,2.100000
Video,2.300000
DVD,3.200000
HD,0.000000
Overige zenders,5.900000
