id,weight
Ned1,11.100000
Ned2,18.400000
Ned3,6.600000
RTL4,15.400000
RTL5,4.300000
RTL7,0.000000
RTL8,0.000000
RTL Crime,0.000000
RTL Lounge,0.000000
RTL Z,0.000000
Yorin,4.400000
SBS6,9.600000
Net5,4.300000
Veronica,2.800000
SBS 9,0.000000
Tien,0.000000
Talpa,0.000000
MTF,0.600000
TMF,0.800000
Kindernet,0.000000
Comedy,0.000000
The Box,0.300000
Nickolodeon,2.400000
Spike,0.000000
TeenNick,0.000000
Jetix,0.000000
FoxKids,2.100000
Disney XD,0.000000
Disney channel,0.000000
Discovery channel,1.500000
National Geographic channel,0.600000
Animal planet,0.500000
TLC,0.000000
ID,0.000000
24Kitchen,0.000000
Fox,0.000000
Fox Sports *,0.000000
Eurosport,0.800000
AT5,0.000000
Regionale zenders,2.200000
Video,2.900000
DVD,2.000000
HD,0.000000
Overige zenders,6.400000
