id,weight
Ned1,20.000000
Ned2,6.700000
Ned3,7.200000
RTL4,13.600000
RTL5,4.400000
RTL7,4.500000
RTL8,1.700000
RTL Crime,0.000000
RTL Lounge,0.000000
RTL Z,0.000000
Yorin,0.000000
SBS6,10.900000
Net5,4.300000
Veronica,3.200000
SBS 9,0.000000
Tien,0.000000
Talpa,0.000000
MTF,0.800000
TMF,0.700000
Kindernet,0.000000
Comedy,1.000000
The Box,0.000000
Nickolodeon,2.100000
Spike,0.000000
TeenNick,0.000000
Jetix,1.600000
FoxKids,0.000000
Disney XD,0.000000
Disney channel,0.100000
Discovery channel,1.800000
National Geographic channel,0.800000
Animal planet,1.100000
TLC,0.000000
ID,0.000000
24Kitchen,0.000000
Fox,0.000000
Fox Sports *,0.000000
Eurosport,0.800000
AT5,0.200000
Regionale zenders,1.800000
Video,0.000000
DVD,0.000000
HD,0.000000
Overige zenders,10.600000
