id,weight
Ned1,21.700000
Ned2,6.300000
Ned3,5.200000
RTL4,14.600000
RTL5,3.100000
RTL7,4.300000
RTL8,1.900000
RTL Crime,0.100000
RTL Lounge,0.100000
RTL Z,0.000000
Yorin,0.000000
SBS6,7.200000
Net5,3.200000
Veronica,3.100000
SBS 9,0.000000
Tien,0.000000
Talpa,0.000000
MTF,0.700000
TMF,0.000000
Kindernet,0.000000
Comedy,1.900000
The Box,0.000000
Nickolodeon,1.200000
Spike,0.000000
TeenNick,0.200000
Jetix,0.000000
FoxKids,0.000000
Disney XD,0.700000
Disney channel,0.500000
Discovery channel,1.900000
National Geographic channel,1.200000
Animal planet,0.000000
TLC,0.700000
ID,0.700000
24Kitchen,0.400000
Fox,0.900000
Fox Sports *,0.700000
Eurosport,0.600000
AT5,0.100000
Regionale zenders,1.500000
Video,0.000000
DVD,1.100000
HD,4.300000
Overige zenders,4.800000
