id,weight
Ned1,17.800000
Ned2,6.900000
Ned3,6.600000
RTL4,12.900000
RTL5,5.300000
RTL7,4.600000
RTL8,0.700000
RTL Crime,0.000000
RTL Lounge,0.000000
RTL Z,0.000000
Yorin,0.000000
SBS6,10.000000
Net5,4.500000
Veronica,3.700000
SBS 9,0.000000
Tien,3.000000
Talpa,0.000000
MTF,0.800000
TMF,0.800000
Kindernet,0.000000
Comedy,0.700000
The Box,0.000000
Nickolodeon,2.100000
Spike,0.000000
TeenNick,0.000000
Jetix,1.800000
FoxKids,0.000000
Disney XD,0.000000
Disney channel,0.000000
Discovery channel,1.700000
National Geographic channel,0.800000
Animal planet,0.700000
TLC,0.000000
ID,0.000000
24Kitchen,0.000000
Fox,0.000000
Fox Sports *,0.000000
Eurosport,0.900000
AT5,0.200000
Regionale zenders,2.000000
Video,1.500000
DVD,3.800000
HD,1.000000
Overige zenders,5.200000
