id,weight
Ned1,13.100000
Ned2,13.500000
Ned3,6.200000
RTL4,13.600000
RTL5,5.500000
RTL7,4.000000
RTL8,0.000000
RTL Crime,0.000000
RTL Lounge,0.000000
RTL Z,0.000000
Yorin,0.000000
SBS6,9.600000
Net5,4.000000
Veronica,3.300000
SBS 9,0.000000
Tien,4.400000
Talpa,0.000000
MTF,0.700000
TMF,0.600000
Kindernet,0.000000
Comedy,0.400000
The Box,0.000000
Nickolodeon,1.800000
Spike,0.000000
TeenNick,0.000000
Jetix,1.900000
FoxKids,0.000000
Disney XD,0.000000
Disney channel,0.000000
Discovery channel,1.700000
National Geographic channel,0.700000
Animal planet,0.800000
TLC,0.000000
ID,0.000000
24Kitchen,0.000000
Fox,0.000000
Fox Sports *,0.000000
Eurosport,0.900000
AT5,0.300000
Regionale zenders,2.100000
Video,2.000000
DVD,3.500000
HD,0.400000
Overige zenders,5.100000
