id,weight
Ned1,21.500000
Ned2,6.800000
Ned3,6.500000
RTL4,14.400000
RTL5,4.000000
RTL7,4.600000
RTL8,1.700000
RTL Crime,0.000000
RTL Lounge,0.000000
RTL Z,0.000000
Yorin,0.000000
SBS6,10.000000
Net5,3.500000
Veronica,3.100000
SBS 9,0.000000
Tien,0.000000
Talpa,0.000000
MTF,0.800000
TMF,0.500000
Kindernet,0.000000
Comedy,1.000000
The Box,0.000000
Nickolodeon,1.800000
Spike,0.000000
TeenNick,0.000000
Jetix,0.000000
FoxKids,0.000000
Disney XD,1.600000
Disney channel,0.500000
Discovery channel,1.500000
National Geographic channel,1.100000
Animal planet,1.000000
TLC,0.000000
ID,0.000000
24Kitchen,0.000000
Fox,0.000000
Fox Sports *,0.000000
Eurosport,0.800000
AT5,0.100000
Regionale zenders,1.700000
Video,0.000000
DVD,0.000000
HD,0.000000
Overige zenders,11.600000
