id,weight
Ned1,18.900000
Ned2,6.400000
Ned3,6.600000
RTL4,14.900000
RTL5,3.200000
RTL7,4.700000
RTL8,1.800000
RTL Crime,0.000000
RTL Lounge,0.000000
RTL Z,0.000000
Yorin,0.000000
SBS6,7.300000
Net5,3.600000
Veronica,3.100000
SBS 9,0.000000
Tien,0.000000
Talpa,0.000000
MTF,0.900000
TMF,0.000000
Kindernet,0.000000
Comedy,2.000000
The Box,0.000000
Nickolodeon,1.600000
Spike,0.000000
TeenNick,0.200000
Jetix,0.000000
FoxKids,0.000000
Disney XD,1.000000
Disney channel,0.600000
Discovery channel,1.900000
National Geographic channel,1.200000
Animal planet,0.400000
TLC,1.500000
ID,0.600000
24Kitchen,0.400000
Fox,0.800000
Fox Sports *,0.600000
Eurosport,0.700000
AT5,0.100000
Regionale zenders,1.700000
Video,0.100000
DVD,1.500000
HD,3.900000
Overige zenders,3.600000
