id,weight
Ned1,19.400000
Ned2,6.200000
Ned3,5.000000
RTL4,15.200000
RTL5,2.900000
RTL7,4.400000
RTL8,2.100000
RTL Crime,0.200000
RTL Lounge,0.100000
RTL Z,0.500000
Yorin,0.000000
SBS6,7.700000
Net5,3.400000
Veronica,2.800000
SBS 9,0.700000
Tien,0.000000
Talpa,0.000000
MTF,0.600000
TMF,0.000000
Kindernet,0.000000
Comedy,1.700000
The Box,0.000000
Nickolodeon,3.400000
Spike,0.200000
TeenNick,0.100000
Jetix,0.000000
FoxKids,0.000000
Disney XD,0.600000
Disney channel,0.500000
Discovery channel,1.800000
National Geographic channel,1.400000
Animal planet,0.000000
TLC,1.700000
ID,0.700000
24Kitchen,0.400000
Fox,1.200000
Fox Sports *,0.800000
Eurosport,0.700000
AT5,0.100000
Regionale zenders,1.400000
Video,0.100000
DVD,1.300000
HD,4.800000
Overige zenders,5.800000
